"";"time";"count"
"6624";2015-06-12 18:00:00;3740
"6625";2015-06-12 18:03:00;3228
"6626";2015-06-12 18:06:00;3245
"6627";2015-06-12 18:09:00;3265
"6628";2015-06-12 18:12:00;3093
"6629";2015-06-12 18:15:00;3459
"6630";2015-06-12 18:18:00;3850
"6631";2015-06-12 18:21:00;3304
"6632";2015-06-12 18:24:00;3002
"6633";2015-06-12 18:27:00;3171
"6634";2015-06-12 18:30:00;3093
"6635";2015-06-12 18:33:00;2718
"6636";2015-06-12 18:36:00;2937
"6637";2015-06-12 18:39:00;2731
"6638";2015-06-12 18:42:00;2802
"6639";2015-06-12 18:45:00;2991
"6640";2015-06-12 18:48:00;2918
"6641";2015-06-12 18:51:00;2908
"6642";2015-06-12 18:54:00;2809
"6643";2015-06-12 18:57:00;2938
"6644";2015-06-12 19:02:00;3652
"6645";2015-06-12 19:05:00;3450
"6646";2015-06-12 19:08:00;3209
"6647";2015-06-12 19:11:00;4325
"6648";2015-06-12 19:14:00;3494
"6649";2015-06-12 19:17:00;3416
"6650";2015-06-12 19:20:00;3624
"6651";2015-06-12 19:23:00;3573
"6652";2015-06-12 19:26:00;3438
"6653";2015-06-12 19:29:00;3411
"6654";2015-06-12 19:32:00;3123
"6655";2015-06-12 19:35:00;3046
"6656";2015-06-12 19:38:00;2981
"6657";2015-06-12 19:41:00;3107
"6658";2015-06-12 19:44:00;3218
"6659";2015-06-12 19:47:00;3223
"6660";2015-06-12 19:50:00;3497
"6661";2015-06-12 19:53:00;5782
"6662";2015-06-12 19:56:00;4463
"6663";2015-06-12 19:59:00;4313
"6664";2015-06-12 20:01:00;4641
"6665";2015-06-12 20:04:00;4681
"6666";2015-06-12 20:07:00;3961
"6667";2015-06-12 20:10:00;3353
"6668";2015-06-12 20:13:00;4220
"6669";2015-06-12 20:16:00;2813
"6670";2015-06-12 20:19:00;2735
"6671";2015-06-12 20:22:00;2633
"6672";2015-06-12 20:25:00;2817
"6673";2015-06-12 20:28:00;2392
"6674";2015-06-12 20:31:00;4600
"6675";2015-06-12 20:34:00;3083
"6676";2015-06-12 20:37:00;2804
"6677";2015-06-12 20:40:00;2389
"6678";2015-06-12 20:43:00;2130
"6679";2015-06-12 20:46:00;2924
"6680";2015-06-12 20:49:00;2366
"6681";2015-06-12 20:52:00;2398
"6682";2015-06-12 20:55:00;2561
"6683";2015-06-12 20:58:00;2382
"6684";2015-06-12 21:00:00;2332
"6685";2015-06-12 21:03:00;2183
"6686";2015-06-12 21:06:00;2111
"6687";2015-06-12 21:09:00;1724
"6688";2015-06-12 21:12:00;1912
"6689";2015-06-12 21:15:00;1714
"6690";2015-06-12 21:18:00;1820
"6691";2015-06-12 21:21:00;2111
"6692";2015-06-12 21:24:00;1748
"6693";2015-06-12 21:27:00;1612
"6694";2015-06-12 21:30:00;2663
"6695";2015-06-12 21:33:00;2648
"6696";2015-06-12 21:36:00;2429
"6697";2015-06-12 21:39:00;2193
"6698";2015-06-12 21:42:00;1719
"6699";2015-06-12 21:45:00;1978
"6700";2015-06-12 21:48:00;2208
"6701";2015-06-12 21:51:00;3878
"6702";2015-06-12 21:54:00;2788
"6703";2015-06-12 21:57:00;2758
"6704";2015-06-12 22:02:00;2461
"6705";2015-06-12 22:05:00;2534
"6706";2015-06-12 22:08:00;2319
"6707";2015-06-12 22:11:00;1957
"6708";2015-06-12 22:14:00;1813
"6709";2015-06-12 22:17:00;1667
"6710";2015-06-12 22:20:00;1487
"6711";2015-06-12 22:23:00;1430
"6712";2015-06-12 22:26:00;1830
"6713";2015-06-12 22:29:00;1503
"6714";2015-06-12 22:32:00;1331
"6715";2015-06-12 22:35:00;1341
"6716";2015-06-12 22:38:00;1360
"6717";2015-06-12 22:41:00;1299
"6718";2015-06-12 22:44:00;1225
"6719";2015-06-12 22:47:00;1204
"6720";2015-06-12 22:50:00;1117
"6721";2015-06-12 22:53:00;1015
"6722";2015-06-12 22:56:00;1023
"6723";2015-06-12 22:59:00;1131
"6724";2015-06-12 23:01:00;1125
"6725";2015-06-12 23:04:00;1021
"6726";2015-06-12 23:07:00;1037
"6727";2015-06-12 23:10:00;966
"6728";2015-06-12 23:13:00;961
"6729";2015-06-12 23:16:00;887
"6730";2015-06-12 23:19:00;930
"6731";2015-06-12 23:22:00;852
"6732";2015-06-12 23:25:00;853
"6733";2015-06-12 23:28:00;821
"6734";2015-06-12 23:31:00;968
"6735";2015-06-12 23:34:00;936
"6736";2015-06-12 23:37:00;762
"6737";2015-06-12 23:40:00;799
"6738";2015-06-12 23:43:00;794
"6739";2015-06-12 23:46:00;752
"6740";2015-06-12 23:49:00;734
"21663";2015-06-12 18:01:00;3707
"21664";2015-06-12 18:04:00;3310
"21665";2015-06-12 18:07:00;3387
"21778";2015-06-12 23:47:00;749
"21779";2015-06-12 23:50:00;746
"36709";2015-06-12 18:02:00;3515
"36710";2015-06-12 18:05:00;3225
"36711";2015-06-12 18:08:00;3306
"36712";2015-06-12 18:11:00;2998
"36713";2015-06-12 18:14:00;3109
"36714";2015-06-12 18:17:00;3729
"36715";2015-06-12 18:20:00;3559
"36716";2015-06-12 18:23:00;2999
"36717";2015-06-12 18:26:00;2964
"36718";2015-06-12 18:29:00;3071
"36719";2015-06-12 18:32:00;2693
"36720";2015-06-12 18:35:00;2966
"36721";2015-06-12 18:38:00;2967
"36722";2015-06-12 18:41:00;2813
"36723";2015-06-12 18:44:00;2824
"36724";2015-06-12 18:47:00;3019
"36725";2015-06-12 18:50:00;2951
"36726";2015-06-12 18:53:00;2862
"36727";2015-06-12 18:56:00;2767
"36728";2015-06-12 18:59:00;2929
"36729";2015-06-12 19:01:00;3554
"36730";2015-06-12 19:04:00;3603
"36731";2015-06-12 19:07:00;3257
"36732";2015-06-12 19:10:00;4535
"36733";2015-06-12 19:13:00;3698
"36734";2015-06-12 19:16:00;3406
"36735";2015-06-12 19:19:00;3518
"36736";2015-06-12 19:22:00;3622
"36737";2015-06-12 19:25:00;3385
"36738";2015-06-12 19:28:00;3705
"36739";2015-06-12 19:31:00;3159
"36740";2015-06-12 19:34:00;3271
"36741";2015-06-12 19:37:00;3066
"36742";2015-06-12 19:40:00;3197
"36743";2015-06-12 19:43:00;2991
"36744";2015-06-12 19:46:00;3273
"36745";2015-06-12 19:49:00;3444
"36746";2015-06-12 19:52:00;3725
"36747";2015-06-12 19:55:00;4512
"36748";2015-06-12 19:58:00;4190
"36749";2015-06-12 20:00:00;4396
"36750";2015-06-12 20:03:00;5082
"36751";2015-06-12 20:06:00;4126
"36752";2015-06-12 20:09:00;3529
"36753";2015-06-12 20:12:00;3521
"36754";2015-06-12 20:15:00;3021
"36755";2015-06-12 20:18:00;2684
"36756";2015-06-12 20:21:00;2655
"36757";2015-06-12 20:24:00;3013
"36758";2015-06-12 20:27:00;2412
"36759";2015-06-12 20:30:00;2831
"36760";2015-06-12 20:33:00;3392
"36761";2015-06-12 20:36:00;2904
"36762";2015-06-12 20:39:00;2570
"36763";2015-06-12 20:42:00;2272
"36764";2015-06-12 20:45:00;2192
"36765";2015-06-12 20:48:00;2066
"36766";2015-06-12 20:51:00;2520
"36767";2015-06-12 20:54:00;2461
"36768";2015-06-12 20:57:00;2410
"36769";2015-06-12 21:02:00;2254
"36770";2015-06-12 21:05:00;2352
"36771";2015-06-12 21:08:00;1733
"36772";2015-06-12 21:11:00;1827
"36773";2015-06-12 21:14:00;1667
"36774";2015-06-12 21:17:00;1740
"36775";2015-06-12 21:20:00;2305
"36776";2015-06-12 21:23:00;1864
"36777";2015-06-12 21:26:00;1564
"36778";2015-06-12 21:29:00;2359
"36779";2015-06-12 21:32:00;2777
"36780";2015-06-12 21:35:00;2521
"36781";2015-06-12 21:38:00;2358
"36782";2015-06-12 21:41:00;2141
"36783";2015-06-12 21:44:00;2138
"36784";2015-06-12 21:47:00;2174
"36785";2015-06-12 21:50:00;1994
"36786";2015-06-12 21:53:00;3147
"36787";2015-06-12 21:56:00;2914
"36788";2015-06-12 21:59:00;2736
"36789";2015-06-12 22:01:00;2710
"36790";2015-06-12 22:04:00;2766
"36791";2015-06-12 22:07:00;2406
"36792";2015-06-12 22:10:00;2168
"36793";2015-06-12 22:13:00;1900
"36794";2015-06-12 22:16:00;1665
"36795";2015-06-12 22:19:00;1480
"36796";2015-06-12 22:22:00;1398
"36797";2015-06-12 22:25:00;2154
"36798";2015-06-12 22:28:00;1594
"36799";2015-06-12 22:31:00;1368
"36800";2015-06-12 22:34:00;1397
"36801";2015-06-12 22:37:00;1324
"36802";2015-06-12 22:40:00;1376
"36803";2015-06-12 22:43:00;1244
"36804";2015-06-12 22:46:00;1116
"36805";2015-06-12 22:49:00;1044
"36806";2015-06-12 22:52:00;998
"36807";2015-06-12 22:55:00;1019
"36808";2015-06-12 22:58:00;1012
"36809";2015-06-12 23:00:00;1166
"36810";2015-06-12 23:03:00;1014
"36811";2015-06-12 23:06:00;958
"36812";2015-06-12 23:09:00;976
"36813";2015-06-12 23:12:00;944
"36814";2015-06-12 23:15:00;913
"36815";2015-06-12 23:18:00;860
"36816";2015-06-12 23:21:00;854
"36817";2015-06-12 23:24:00;823
"36818";2015-06-12 23:27:00;831
"36819";2015-06-12 23:30:00;880
"36820";2015-06-12 23:33:00;939
"36821";2015-06-12 23:36:00;851
"36822";2015-06-12 23:39:00;745
"36823";2015-06-12 23:42:00;786
"36824";2015-06-12 23:45:00;753
"36825";2015-06-12 23:48:00;733
